ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	135 	2.0 	0.008251
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	75 	8.1 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	75 	8.1 	2e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	75 	8.1 	0.123468
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	75 	8.1 	0.815669
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	75 	8.1 	0.000275
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	75 	8.1 	3.4e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	75 	8.1 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	75 	8.1 	-0.0
ABMODEL_GROUP 	srb 	75 	8.1 	3.4e-05
ABMODEL_GROUP 	sulfox 	75 	8.1 	0.133954
ABMODEL_GROUP 	amo 	75 	8.1 	0.003982
ABMODEL_GROUP 	methox 	75 	8.1 	0.815669
ABMODEL_GROUP 	feo 	75 	8.1 	0.000127
ABMODEL_GROUP 	methanogens 	75 	8.1 	2e-05
ABMODEL_GROUP 	anme 	75 	8.1 	0.046214
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	76 	7.9 	0.000127
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	76 	7.9 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	76 	7.9 	0.046146
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	76 	7.9 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	76 	7.9 	0.003983
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	76 	7.9 	0.010442
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	76 	7.9 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	76 	7.9 	1.9e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	76 	7.9 	0.123236
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	76 	7.9 	0.815731
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	76 	7.9 	0.000282
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	76 	7.9 	3.3e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	76 	7.9 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	76 	7.9 	-0.0
ABMODEL_GROUP 	srb 	76 	7.9 	3.3e-05
ABMODEL_GROUP 	sulfox 	76 	7.9 	0.133961
ABMODEL_GROUP 	amo 	76 	7.9 	0.003983
ABMODEL_GROUP 	methox 	76 	7.9 	0.815731
ABMODEL_GROUP 	feo 	76 	7.9 	0.000127
ABMODEL_GROUP 	methanogens 	76 	7.9 	1.9e-05
ABMODEL_GROUP 	anme 	76 	7.9 	0.046146
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	77 	7.8 	0.000127
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	77 	7.8 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	77 	7.8 	0.046077
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	77 	7.8 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	77 	7.8 	0.003985
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	77 	7.8 	0.010669
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	77 	7.8 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	77 	7.8 	1.9e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	77 	7.8 	0.123034
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	77 	7.8 	0.815781
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	77 	7.8 	0.000273
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	77 	7.8 	3.4e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	77 	7.8 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	77 	7.8 	-0.0
ABMODEL_GROUP 	srb 	77 	7.8 	3.4e-05
ABMODEL_GROUP 	sulfox 	77 	7.8 	0.133977
ABMODEL_GROUP 	amo 	77 	7.8 	0.003985
ABMODEL_GROUP 	methox 	77 	7.8 	0.815781
ABMODEL_GROUP 	feo 	77 	7.8 	0.000127
ABMODEL_GROUP 	methanogens 	77 	7.8 	1.9e-05
ABMODEL_GROUP 	anme 	77 	7.8 	0.046077
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	78 	7.6 	0.000126
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	78 	7.6 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	78 	7.6 	0.046011
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	78 	7.6 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	78 	7.6 	0.003984
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	78 	7.6 	0.0109
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	78 	7.6 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	78 	7.6 	2e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	78 	7.6 	0.122839
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	78 	7.6 	0.815807
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	78 	7.6 	0.00028
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	78 	7.6 	3.2e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	78 	7.6 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	78 	7.6 	-0.0
ABMODEL_GROUP 	srb 	78 	7.6 	3.2e-05
ABMODEL_GROUP 	sulfox 	78 	7.6 	0.134019
ABMODEL_GROUP 	amo 	78 	7.6 	0.003984
ABMODEL_GROUP 	methox 	78 	7.6 	0.815807
ABMODEL_GROUP 	feo 	78 	7.6 	0.000126
ABMODEL_GROUP 	methanogens 	78 	7.6 	2e-05
ABMODEL_GROUP 	anme 	78 	7.6 	0.046011
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	79 	7.5 	0.000126
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	79 	7.5 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	79 	7.5 	0.045944
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	79 	7.5 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	79 	7.5 	0.003989
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	79 	7.5 	0.01111
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	79 	7.5 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	79 	7.5 	1.9e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	79 	7.5 	0.122679
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	79 	7.5 	0.815813
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	79 	7.5 	0.000287
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	79 	7.5 	3.3e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	79 	7.5 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	79 	7.5 	-0.0
ABMODEL_GROUP 	srb 	79 	7.5 	3.3e-05
ABMODEL_GROUP 	sulfox 	79 	7.5 	0.134076
ABMODEL_GROUP 	amo 	79 	7.5 	0.003989
ABMODEL_GROUP 	methox 	79 	7.5 	0.815813
ABMODEL_GROUP 	feo 	79 	7.5 	0.000126
ABMODEL_GROUP 	methanogens 	79 	7.5 	1.9e-05
ABMODEL_GROUP 	anme 	79 	7.5 	0.045944
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	80 	7.4 	0.000129
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	80 	7.4 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	80 	7.4 	0.045845
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	80 	7.4 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	80 	7.4 	0.003991
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	80 	7.4 	0.01134
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	80 	7.4 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	80 	7.4 	2e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	80 	7.4 	0.122428
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	80 	7.4 	0.815938
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	80 	7.4 	0.000277
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	80 	7.4 	3.2e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	80 	7.4 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	80 	7.4 	-0.0
ABMODEL_GROUP 	srb 	80 	7.4 	3.2e-05
ABMODEL_GROUP 	sulfox 	80 	7.4 	0.134045
ABMODEL_GROUP 	amo 	80 	7.4 	0.003991
ABMODEL_GROUP 	methox 	80 	7.4 	0.815938
ABMODEL_GROUP 	feo 	80 	7.4 	0.000129
ABMODEL_GROUP 	methanogens 	80 	7.4 	2e-05
ABMODEL_GROUP 	anme 	80 	7.4 	0.045845
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	81 	7.2 	0.000128
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	81 	7.2 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	81 	7.2 	0.045782
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	81 	7.2 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	81 	7.2 	0.003987
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	81 	7.2 	0.011575
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	81 	7.2 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	81 	7.2 	1.9e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	81 	7.2 	0.122259
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	81 	7.2 	0.815935
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	81 	7.2 	0.000283
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	81 	7.2 	3.3e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	81 	7.2 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	81 	7.2 	-0.0
ABMODEL_GROUP 	srb 	81 	7.2 	3.3e-05
ABMODEL_GROUP 	sulfox 	81 	7.2 	0.134118
ABMODEL_GROUP 	amo 	81 	7.2 	0.003987
ABMODEL_GROUP 	methox 	81 	7.2 	0.815935
ABMODEL_GROUP 	feo 	81 	7.2 	0.000128
ABMODEL_GROUP 	methanogens 	81 	7.2 	1.9e-05
ABMODEL_GROUP 	anme 	81 	7.2 	0.045782
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	82 	7.1 	0.000127
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	82 	7.1 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	82 	7.1 	0.045728
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	82 	7.1 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	82 	7.1 	0.003989
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	82 	7.1 	0.011788
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	82 	7.1 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	82 	7.1 	1.9e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	82 	7.1 	0.121979
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	82 	7.1 	0.816064
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	82 	7.1 	0.000272
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	82 	7.1 	3.3e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	82 	7.1 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	82 	7.1 	-0.0
ABMODEL_GROUP 	srb 	82 	7.1 	3.3e-05
ABMODEL_GROUP 	sulfox 	82 	7.1 	0.134039
ABMODEL_GROUP 	amo 	82 	7.1 	0.003989
ABMODEL_GROUP 	methox 	82 	7.1 	0.816064
ABMODEL_GROUP 	feo 	82 	7.1 	0.000127
ABMODEL_GROUP 	methanogens 	82 	7.1 	1.9e-05
ABMODEL_GROUP 	anme 	82 	7.1 	0.045728
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	83 	7.0 	0.000126
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	83 	7.0 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	83 	7.0 	0.045669
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	83 	7.0 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	83 	7.0 	0.003992
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	83 	7.0 	0.012009
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	83 	7.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	83 	7.0 	1.9e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	83 	7.0 	0.121812
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	83 	7.0 	0.816064
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	83 	7.0 	0.000278
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	83 	7.0 	3.2e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	83 	7.0 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	83 	7.0 	-0.0
ABMODEL_GROUP 	srb 	83 	7.0 	3.2e-05
ABMODEL_GROUP 	sulfox 	83 	7.0 	0.134098
ABMODEL_GROUP 	amo 	83 	7.0 	0.003992
ABMODEL_GROUP 	methox 	83 	7.0 	0.816064
ABMODEL_GROUP 	feo 	83 	7.0 	0.000126
ABMODEL_GROUP 	methanogens 	83 	7.0 	1.9e-05
ABMODEL_GROUP 	anme 	83 	7.0 	0.045669
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	84 	6.9 	0.000129
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	84 	6.9 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	84 	6.9 	0.045612
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	84 	6.9 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	84 	6.9 	0.00399
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	84 	6.9 	0.012229
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	84 	6.9 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	84 	6.9 	1.9e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	84 	6.9 	0.12166
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	84 	6.9 	0.816045
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	84 	6.9 	0.000284
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	84 	6.9 	3.2e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	84 	6.9 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	84 	6.9 	-0.0
ABMODEL_GROUP 	srb 	84 	6.9 	3.2e-05
ABMODEL_GROUP 	sulfox 	84 	6.9 	0.134173
ABMODEL_GROUP 	amo 	84 	6.9 	0.00399
ABMODEL_GROUP 	methox 	84 	6.9 	0.816045
ABMODEL_GROUP 	feo 	84 	6.9 	0.000129
ABMODEL_GROUP 	methanogens 	84 	6.9 	1.9e-05
ABMODEL_GROUP 	anme 	84 	6.9 	0.045612
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	85 	6.8 	0.000127
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	85 	6.8 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	85 	6.8 	0.045559
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	85 	6.8 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	85 	6.8 	0.00399
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	85 	6.8 	0.012455
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	85 	6.8 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	85 	6.8 	1.9e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	85 	6.8 	0.121419
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	85 	6.8 	0.816108
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	85 	6.8 	0.00029
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	85 	6.8 	3.3e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	85 	6.8 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	85 	6.8 	-0.0
ABMODEL_GROUP 	srb 	85 	6.8 	3.3e-05
ABMODEL_GROUP 	sulfox 	85 	6.8 	0.134164
ABMODEL_GROUP 	amo 	85 	6.8 	0.00399
ABMODEL_GROUP 	methox 	85 	6.8 	0.816108
ABMODEL_GROUP 	feo 	85 	6.8 	0.000127
ABMODEL_GROUP 	methanogens 	85 	6.8 	1.9e-05
ABMODEL_GROUP 	anme 	85 	6.8 	0.045559
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	86 	6.7 	0.00013
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	86 	6.7 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	86 	6.7 	0.045509
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	86 	6.7 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	86 	6.7 	0.003992
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	86 	6.7 	0.012663
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	86 	6.7 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	86 	6.7 	1.9e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	86 	6.7 	0.121196
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	86 	6.7 	0.816181
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	86 	6.7 	0.000276
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	86 	6.7 	3.4e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	86 	6.7 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	86 	6.7 	-0.0
ABMODEL_GROUP 	srb 	86 	6.7 	3.4e-05
ABMODEL_GROUP 	sulfox 	86 	6.7 	0.134135
ABMODEL_GROUP 	amo 	86 	6.7 	0.003992
ABMODEL_GROUP 	methox 	86 	6.7 	0.816181
ABMODEL_GROUP 	feo 	86 	6.7 	0.00013
ABMODEL_GROUP 	methanogens 	86 	6.7 	1.9e-05
ABMODEL_GROUP 	anme 	86 	6.7 	0.045509
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	87 	6.6 	0.000128
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	87 	6.6 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	87 	6.6 	0.045456
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	87 	6.6 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	87 	6.6 	0.003995
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	87 	6.6 	0.012878
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	87 	6.6 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	87 	6.6 	2e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	87 	6.6 	0.121039
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	87 	6.6 	0.816171
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	87 	6.6 	0.000282
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	87 	6.6 	3.2e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	87 	6.6 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	87 	6.6 	-0.0
ABMODEL_GROUP 	srb 	87 	6.6 	3.2e-05
ABMODEL_GROUP 	sulfox 	87 	6.6 	0.134199
ABMODEL_GROUP 	amo 	87 	6.6 	0.003995
ABMODEL_GROUP 	methox 	87 	6.6 	0.816171
ABMODEL_GROUP 	feo 	87 	6.6 	0.000128
ABMODEL_GROUP 	methanogens 	87 	6.6 	2e-05
ABMODEL_GROUP 	anme 	87 	6.6 	0.045456
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	88 	6.5 	0.000126
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	88 	6.5 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	88 	6.5 	0.045408
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	88 	6.5 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	88 	6.5 	0.003998
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	88 	6.5 	0.013097
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	88 	6.5 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	88 	6.5 	1.8e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	88 	6.5 	0.120788
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	88 	6.5 	0.816245
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	88 	6.5 	0.000287
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	88 	6.5 	3.2e-05
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	88 	6.5 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	88 	6.5 	-0.0
ABMODEL_GROUP 	srb 	88 	6.5 	3.2e-05
ABMODEL_GROUP 	sulfox 	88 	6.5 	0.134172
ABMODEL_GROUP 	amo 	88 	6.5 	0.003998
